orders,order_estimated_delivery_date,order_delivered_customer_date,order_id
1,"2017-07-24 02:00:00","2017-07-05 19:04:20",8df58f40fe1df92d0594a2ff4993ab55
2,"2017-03-29 02:00:00","2017-03-10 13:04:47",3d76cc1cc5ebdd45a03c0b51f79d43b1
1,"2018-04-30 02:00:00","2018-04-14 02:11:42",365a1b0dc5465b589146a0b7a504183e
1,"2018-04-30 02:00:00","2018-04-18 21:58:31",7f8c45241719d873d8f5e3899b7101be
2,"2018-04-17 02:00:00","2018-04-11 00:59:32",818b470109d94829497e6d4cef2e0079
2,"2018-05-14 02:00:00","2018-05-05 13:41:25",095f058cc1daeb1e7ba1c133473090a3
1,"2018-04-06 02:00:00","2018-03-29 23:42:05",0fe0304e435117f8e45fe2b298ed25bd
1,"2018-04-24 02:00:00","2018-04-14 14:58:32",1a21e73a0315ba67c5e45cbcd1abd95d
1,"2018-04-03 02:00:00","2018-03-23 13:45:54",1b50601ff6fbdeff70999a4a988c1eca
1,"2018-05-25 02:00:00","2018-04-30 17:51:46",3ea85b54f4c54ccc998b38bebf6c2c15
1,"2018-05-17 02:00:00","2018-05-04 19:37:53",4b26fbc3d9dab4bb7bed35fbe2746f26
1,"2018-05-17 02:00:00","2018-05-10 16:22:15",521fac667299475d5d3de647d23c681b
1,"2018-05-04 02:00:00","2018-04-21 00:02:29",8ace197d57084cf99d770809ef26dab7
1,"2018-05-24 02:00:00","2018-05-02 20:48:53",8caa77ff40d44d6d22eb8b3079c3c324
1,"2018-05-03 02:00:00","2018-04-20 16:26:39",9773679828d39baca17c7cfd64090070
1,"2018-05-30 02:00:00","2018-05-05 18:16:55",a47d9d942ab28a004f583312932bca8e
1,"2018-04-18 02:00:00","2018-04-09 23:06:41",a707874e5cdbc85cc3c63f60f28a413a
1,"2018-04-19 02:00:00","2018-04-17 00:22:55",c14280403027095676ce13109d5e2864
1,"2018-04-26 02:00:00","2018-04-16 21:58:43",c21b52965ab8bbc3d27579c093386807
1,"2018-05-14 02:00:00","2018-04-26 14:19:53",c7c0573cccba9f9162671f96f5f12e60
1,"2018-04-04 02:00:00","2018-04-02 23:34:24",cf3b1dd0779afd4864077711786dbe2b
1,"2018-05-16 02:00:00","2018-05-02 20:24:53",ea3ae6fbee484133e325f4e1b984d108
1,"2018-01-30 01:00:00","2018-01-15 18:15:02",f7292417c8df8e1099b2604c9a1c5d8d
1,"2018-04-30 02:00:00","2018-04-18 21:51:06",f87e6a448c7194cbe50fa937efad03ba
1,"2018-06-26 02:00:00","2018-06-13 02:28:43",083556b25c9ff2ecef87ad43b8d265cc
1,"2017-10-23 02:00:00","2017-10-19 18:51:52",40bdd1ba5a9602677ba0603dfb0a659a
1,"2018-02-08 01:00:00","2018-01-25 23:25:35",53a2fc4e276fa45a7962cec897d2bc89
1,"2017-11-14 01:00:00","2017-11-10 14:37:44",61f82b319ee0352b3b8525dfa467e0f2
1,"2017-10-26 02:00:00","2017-10-23 23:25:16",64a49ec4515de1ebb60ba7e7b26a3893
1,"2018-02-07 01:00:00","2018-01-30 23:58:44",75f2a104539398768a4bddc7a9a0d8fd
1,"2018-06-04 02:00:00","2018-05-30 23:28:38",7de7d0f642682f06b2dbfd5a2e614ab1
1,"2018-02-21 01:00:00","2018-02-09 21:24:38",93634466f99307a62d5d4d34689562b8
1,"2017-10-27 02:00:00","2017-10-24 20:07:54",c3c8c891f706a8256fb5da39ced6ceae
1,"2017-07-26 02:00:00","2017-07-15 14:35:49",e79151590aa7ee3040361aa72796c4b4
1,"2017-08-21 02:00:00","2017-08-09 21:43:36",4696cae9482bc7043c17dad5cd2e50d6
1,"2017-07-24 02:00:00","2017-07-17 20:58:06",746c571ef93dfd0c1ee0a6d4e9d983c7
1,"2017-08-25 02:00:00","2017-08-17 17:17:12",7d0ed38550fa692c0dff9a4d0eddb8e7
1,"2018-09-14 02:00:00","2018-08-27 22:27:35",14666138d6ac727f90a5f2775b282d07
1,"2018-09-06 02:00:00","2018-08-29 15:10:54",1a109ace7bc73c15e6ef45d6d4423dbd
1,"2018-09-03 02:00:00","2018-08-18 13:22:57",64c43896c03b8f6f3ee2a5927ff67d7b
1,"2018-09-18 02:00:00","2018-08-29 18:51:28",6a6a5e595e782a6d0de7abee5fab0b89
2,"2018-08-16 02:00:00","2018-08-09 19:34:18",72ebb0547658a1d829e79aca8367d606
1,"2018-09-12 02:00:00","2018-08-24 19:04:23",8333c49adbe3515e032c472789e8201e
1,"2018-08-31 02:00:00","2018-08-29 19:34:28",841d2f58ddbae5e6d1230dbbbae2c0aa
1,"2018-08-27 02:00:00","2018-08-20 21:08:43",891bbd4e052c5f3e894ed330a7419c6e
1,"2018-08-14 02:00:00","2018-08-10 19:51:30",aeae13bf1962c0a747dae0f007b2b313
1,"2018-08-29 02:00:00","2018-08-23 03:18:53",eb377d391f9d3ac66c316a741d6a0724
1,"2018-01-16 01:00:00","2017-12-29 21:13:31",7dfa7b74a309a0a38a2354b745151aae
1,"2018-07-04 02:00:00","2018-06-19 21:54:49",6b44058917b7d56ae8c4ff52f9c65a2e
1,"2017-10-17 02:00:00","2017-10-05 22:48:11",856fc8f6f0843d1f0de271cfd64e6cc4
1,"2018-08-14 02:00:00","2018-08-07 20:08:38",8a3d4b5cd5e2602d148ea8f0d12f0512
1,"2018-05-23 02:00:00","2018-05-07 20:48:31",aa3bb8a5c7740d386e6318f44046ac14
