customer_id,customer_zip_code_prefix
7ae2a9337aa4bc799723511faa1d6830,1003
a09edf8c1e842e94805a206b3d73eed5,1004
ee9b73e88afb4904ee2322cfc89cf638,1004
15d7dbcd027b5b24866db33e2b819021,1005
5a8b64ee6ccdae09ea823e6aa00e9517,1005
6e4eb34e7f4d526a82726712aa17c02b,1005
6ec2b4682814cfdac8d92bad42b3ddab,1005
c46061cd5153f35604f9e9a2130df702,1005
f3e31afdae80581be48ce94e7b0f3366,1005
467bcdf6e97d661f3947ad9308dcb0cc,1006
fe9db57b1fe84352125989acb12d3c68,1006
59ba19787a301a48bee9f11ee4dc8a4e,1007
6099b4a3bbcc0a01fb20ff6cab0289e3,1007
b7d357b5d22f91e4ee177ed8ae73e5d8,1007
eef334d286867001f368d3b4b240f1ba,1007
50814dd40158d233103f675c340c68b1,1008
7bced3969d47023b7ab580e4cfdda7ed,1008
99e92a4ae3b87639d2b55ee0319dee00,1008
9f19be636564daf8c3fcc8f447490731,1008
3928d28e61c87c25d0d81dd65e7303f3,1009
410bf44fa819e660e2fcaea12c35af43,1009
7d8c2899f9095be928b72a16b21a3e03,1009
ace4c0c7241fb02b72bb8d019b738693,1009
cb0ab7935862f8f422456b08b9d08f9c,1009
d0f3f691b729cd317bc9284b0c0c2fbc,1009
d4d6b4b9d85471149150ceda6dee1501,1009
02d34c287580a6f46ad7ffc395bbc208,1011
3b7635130d1327ea2b273050efc450a9,1011
5a99f3ed7b721d9aa04b6f73e0abdfc7,1011
8a320a211ebebf7ce02c6a514f0aaeac,1011
ac8cbf914049a7b20272a10f768ba6dd,1011
52ef069fa39db50ea9770d2078a74859,1012
b3beef70f17ed56c0f98f810e411d87b,1012
c5c064df6a4c428df004ad4759092dcb,1012
092389b0ad58d08590243690dc4db793,1013
81ee77ee8d1e9675aa596585f370c795,1013
fd5ddf911dca5e102a4856a2ace88a09,1013
17109b321000eac4651619ac8f9b6035,1014
b6a3374282d47f94690d08d2bd8a8b29,1014
dd47ec035879a286789eb842ebe36739,1014
e674bf9e1fd5863bbb4c72f95fdba39f,1014
679199777b88ed8041f6cfe369cf722e,1015
8197dc246c4a83cb58834c3495716dc0,1015
de4226aa985c654b32ef83603e0cdbbb,1016
13cd53cfa0c597ecd72e7b0e85af5f90,1017
5c6f90081fa82c6502575fd32cf54c2e,1017
9fbabbe4238be3f2033ededc2d212b6d,1017
9bc1b48bb57b22ba2fbd77579dad8202,1019
fb65e3e167bf3b2f7d2ba5b7a140e045,1019
1092e3509e1abf967bdb283b72484323,1020
6e20e3411f6125ce6341690687c83fef,1020
970ca115b43314d95949db28ed73aa78,1020
99ef3b28b2ab64bf0a00c2a5c9bafadd,1020
bc622ba5c1a6dd7bbda84d044b747b18,1020
da55d95490988ce417fbf234ed9119bb,1020
999ea745e15b6f7bcb451e51d1b9d64e,1021
b01592e974c5b73b5adc1cafc1ebb7e9,1021
e9806f0cec46b8ea205a3ba236ff0d35,1022
ebc03139c4eacc7f77065c3dcfd98612,1023
0264bbda6bd6492c79a5843f7c2e1eb4,1024
ea85434d6eb8e8b3acb85291385bc410,1024
b45ea9acbd0aea9a6cf36bfefb9675b6,1025
28488ed4aa3650130c3a842b8978d423,1026
29945e69674077096f8273a6b18f16ae,1026
ce044d9d17e942154d8b9d2e45da8dc9,1026
e414cf673d7803bcddf9263feed7c535,1026
05c204bec3c3b5819ddb8eb7441048a8,1027
e45d7222b87e8b15b377853dba5be723,1027
